championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
LLA/2019_Season/Opening_Season;Kaos Latin Gamers;Nate;21;4;17;19%;1.86;2.1;3;2.32;255.05;7.64;11.8;353;-;-;60%;22.9%;20.8%;14;['Urgot', 'Vladimir', 'Kennen']
LLA/2019_Season/Opening_Season;Kaos Latin Gamers;Shadow;21;4;17;19%;0.29;2.33;4.9;2.22;59;1.77;8.9;265;-;-;64.1%;3.5%;15.6%;7;['Tahm Kench', 'Braum', 'Alistar']
LLA/2019_Season/Opening_Season;Kaos Latin Gamers;Zelt;21;4;17;19%;1.81;2;2.9;2.36;291.86;8.74;12.3;368;-;-;58.2%;22.4%;21.7%;16;['LeBlanc', 'Ryze', 'Akali']
LLA/2019_Season/Opening_Season;Pixel Esports Club;Manu;21;9;12;42.9%;2.33;1.57;3.33;3.61;331.43;9.57;14.6;422;-;-;64.3%;26.5%;23.9%;8;"['Lucian', ""Kai'Sa"", 'Caitlyn']"
LLA/2019_Season/Opening_Season;Pixel Esports Club;Nipphu;21;9;12;42.9%;1.57;2.52;2.86;1.75;287.14;8.29;12.9;374;-;-;50.3%;17.8%;21.1%;11;['Sion', 'Vladimir', 'Lissandra']
LLA/2019_Season/Opening_Season;Pixel Esports Club;QQ;21;9;12;42.9%;1.86;2.67;4.52;2.39;179.95;5.2;11.1;322;-;-;72.4%;21.1%;18.2%;12;['Lee Sin', 'Sejuani', 'Jarvan IV']
LLA/2019_Season/Opening_Season;Pixel Esports Club;Shmebu;21;9;12;42.9%;0.71;2.71;5.57;2.32;48.05;1.39;9.6;276;-;-;71.4%;8.1%;15.6%;9;['Thresh', 'Braum', 'Alistar']
LLA/2019_Season/Opening_Season;Pixel Esports Club;TopLop;21;9;12;42.9%;2.33;2.1;3.29;2.68;288.14;8.32;13;374;-;-;63.8%;26.5%;21.2%;11;['Corki', 'Zoe', 'LeBlanc']
LLA/2019_Season/Opening_Season;Movistar R7;Acce;21;15;6;71.4%;1.95;1.95;4.67;3.39;271.67;8.03;12.8;380;-;-;54.1%;16%;20.2%;10;['Aatrox', 'Urgot', 'Ornn']
LLA/2019_Season/Opening_Season;Movistar R7;Baula;21;15;6;71.4%;0.43;1.38;8.14;6.21;64.29;1.9;9.9;292;-;-;70%;3.5%;15.5%;5;['Alistar', 'Braum', 'Tahm Kench']
