championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
CBLOL/2019_Season/Split_1;Akali;43;51.2%;30;13;10;5;8;38.5%;3.46;2.62;4.38;3;280.23;7.56;13.6;368;-;-;62.6%;27.6%;20.5%;['Mid Laner', 'Top Laner']
CBLOL/2019_Season/Split_1;Karthus;42;50%;34;8;6;5;3;62.5%;3.63;3.5;5.63;2.64;240.38;6.62;13.5;373;-;-;72.5%;28.4%;20.4%;['Jungler', 'Mid Laner']
CBLOL/2019_Season/Split_1;Gragas;37;44%;20;17;7;10;7;58.8%;2.35;2.76;6.12;3.06;176.24;5.17;11.3;330;-;-;62.9%;17.5%;18.1%;['Jungler', 'Support']
CBLOL/2019_Season/Split_1;Sion;36;42.9%;12;24;10;15;9;62.5%;1.58;2.42;5.67;3;249.04;7.1;12.1;344;-;-;58%;12.7%;18.9%;['Top Laner', 'Mid Laner']
CBLOL/2019_Season/Split_1;Tahm Kench;35;41.7%;7;28;9;18;10;64.3%;0.86;2.25;6.75;3.38;78.54;2.21;10;283;-;-;59.3%;6.7%;15.3%;['Support']
CBLOL/2019_Season/Split_1;Sejuani;35;41.7%;15;20;9;7;13;35%;1.55;2.4;5.6;2.98;166.95;5.05;10.4;314;-;-;74.5%;16.1%;18%;['Jungler']
CBLOL/2019_Season/Split_1;Thresh;33;39.3%;19;14;6;9;5;64.3%;0.86;2.64;8.57;3.57;31.57;0.9;9.1;259;-;-;66.7%;6.1%;14.3%;['Support']
CBLOL/2019_Season/Split_1;Jarvan IV;31;36.9%;4;27;15;13;14;48.1%;2.15;3.15;7.74;3.14;183.37;5.36;11.2;326;-;-;77.8%;16.9%;18.4%;['Jungler', 'Top Laner', 'Support']
CBLOL/2019_Season/Split_1;Lee Sin;30;35.7%;4;26;6;14;12;53.8%;2.73;2.5;6.42;3.66;192.65;5.3;12.3;337;-;-;74.6%;22.3%;18.8%;['Jungler']
CBLOL/2019_Season/Split_1;Ryze;30;35.7%;15;15;6;6;9;40%;2.73;2.13;4.6;3.44;312.2;8.88;14.1;402;-;-;68.3%;25.5%;22.7%;['Mid Laner']
CBLOL/2019_Season/Split_1;Olaf;30;35.7%;18;12;6;4;8;33.3%;2.5;2.92;5.42;2.71;184.58;5.31;11.4;327;-;-;74.2%;23.4%;18.8%;['Jungler']
CBLOL/2019_Season/Split_1;Jayce;30;35.7%;19;11;5;1;10;9.1%;2.55;2.55;4.45;2.75;291.55;8.59;13.4;394;-;-;65.8%;23.9%;22.9%;['Top Laner', 'Mid Laner']
CBLOL/2019_Season/Split_1;Rek'Sai;27;32.1%;14;13;8;6;7;46.2%;3.38;2.46;4.15;3.06;175.92;5.6;11.4;365;-;-;60.5%;27.2%;19.7%;['Jungler']
CBLOL/2019_Season/Split_1;Vladimir;25;29.8%;9;16;8;5;11;31.3%;2.38;2.25;2.56;2.19;280.13;8.45;12.5;377;-;-;45.1%;21.7%;21.5%;['Top Laner', 'Mid Laner', 'Bot Laner']
CBLOL/2019_Season/Split_1;Kai'Sa;24;28.6%;5;19;8;8;11;42.1%;2.89;1.84;4.26;3.89;296.63;9.11;13.5;414;-;-;66%;26.7%;23.4%;['Bot Laner']
CBLOL/2019_Season/Split_1;Nocturne;24;28.6%;16;8;6;1;7;12.5%;1;4.13;4.13;1.24;161.38;4.92;9.6;292;-;-;66.1%;12.9%;17.6%;['Jungler']
CBLOL/2019_Season/Split_1;Sivir;21;25%;9;12;8;5;7;41.7%;4.25;2.17;5.08;4.31;360.83;10.08;15.6;435;-;-;78.9%;35.9%;25.3%;['Bot Laner', 'Mid Laner']
CBLOL/2019_Season/Split_1;Tristana;20;23.8%;11;9;4;8;1;88.9%;4.89;0.67;3.89;13.17;330.89;9.99;15.7;473;-;-;79%;44%;25.7%;['Bot Laner']
CBLOL/2019_Season/Split_1;Kalista;18;21.4%;6;12;7;4;8;33.3%;2.25;3.25;4.67;2.13;296.17;9.11;13;401;-;-;61.5%;20%;23%;['Bot Laner']
CBLOL/2019_Season/Split_1;Renekton;18;21.4%;8;10;6;8;2;80%;2.5;2.3;5.3;3.39;305.2;8.1;15;398;-;-;52.7%;16.9%;21.2%;['Top Laner']
